[2017-03-13 14:20:06,997] [vautils] [DEBUG] Interface info: [['Link', 'encap:Ethernet', 'HWaddr', '00:0c:29:ed:d7:3c'], ['inet', 'addr:15.15.15.1', 'Bcast:15.15.15.255', 'Mask:255.255.255.0'], ['inet6', 'addr:fe80::20c:29ff:feed:d73c/64', 'Scope:Link'], ['UP', 'BROADCAST', 'RUNNING', 'MULTICAST', 'MTU:1500', 'Metric:1'], ['RX', 'packets:911', 'errors:0', 'dropped:19', 'overruns:0', 'frame:0'], ['TX', 'packets:4508', 'errors:0', 'dropped:0', 'overruns:0', 'carrier:0'], ['collisions:0', 'txqueuelen:1000'], ['RX', 'bytes:85347', '85.3-KB', 'TX', 'bytes:267819', '267.8-KB'], []]
[2017-03-13 14:20:06,997] [vautils] [INFO] ifconfig ip works
[2017-03-13 14:20:08,054] [vautils] [INFO] [varmour-virtual-machine] sudo ifconfig eth1 15.15.15.2 netmask 255.255.255.0 up
[2017-03-13 14:20:08,565] [vautils] [INFO] [varmour-virtual-machine] ifconfig eth1
[2017-03-13 14:20:08,566] [vautils] [DEBUG] Interface info: [['Link', 'encap:Ethernet', 'HWaddr', '00:0c:29:71:af:dc'], ['inet', 'addr:15.15.15.2', 'Bcast:15.15.15.255', 'Mask:255.255.255.0'], ['inet6', 'addr:fe80::20c:29ff:fe71:afdc/64', 'Scope:Link'], ['UP', 'BROADCAST', 'RUNNING', 'MULTICAST', 'MTU:1500', 'Metric:1'], ['RX', 'packets:3721', 'errors:0', 'dropped:14', 'overruns:0', 'frame:0'], ['TX', 'packets:4219', 'errors:0', 'dropped:0', 'overruns:0', 'carrier:0'], ['collisions:0', 'txqueuelen:1000'], ['RX', 'bytes:254008', '254.0-KB', 'TX', 'bytes:265163', '265.1-KB'], []]
[2017-03-13 14:20:08,567] [vautils] [INFO] ifconfig ip works
[2017-03-13 14:20:08,567] [vautils] [INFO] Finished to set interface
[2017-03-13 14:20:08,568] [vautils] [DEBUG] Start to config route
[2017-03-13 14:20:08,568] [vautils] [INFO] Completed to config route
[2017-03-13 14:20:08,568] [vautils] [INFO] ++++++++++++++++++++++++ rest ++++++++++++++++++++++++++
[2017-03-13 14:20:08,630] [vautils] [INFO] 
In subroutine: va_get_version
[2017-03-13 14:20:08,631] [feature] [INFO] show system
[2017-03-13 14:20:08,675] [access] [INFO] [dir_1] show system
[2017-03-13 14:20:08,675] [access] [INFO] [dir_1]    
[2017-03-13 14:20:08,675] [access] [INFO] [dir_1]   hostname:                      vArmour
[2017-03-13 14:20:08,676] [access] [INFO] [dir_1]   fabric interface:              eth0
[2017-03-13 14:20:08,676] [access] [INFO] [dir_1]   fabric address:                192.168.1.1/24
[2017-03-13 14:20:08,676] [access] [INFO] [dir_1]   management interface:          eth1
[2017-03-13 14:20:08,677] [access] [INFO] [dir_1]   management address:            10.11.125.90/24
[2017-03-13 14:20:08,677] [access] [INFO] [dir_1]   management gateway:            10.11.125.1
[2017-03-13 14:20:08,677] [access] [INFO] [dir_1]   time:                          Sun Mar 12 22:57:16 UTC 2017
[2017-03-13 14:20:08,677] [access] [INFO] [dir_1]   uptime:                        53 min,  3 users,  load average: 0.30, 0.22, 0.25
[2017-03-13 14:20:08,678] [access] [INFO] [dir_1]   model:                         VA3020V
[2017-03-13 14:20:08,678] [access] [INFO] [dir_1]   serial:                        564DC3A1-35E0-FDBC-B160-F579D21DD81B
[2017-03-13 14:20:08,678] [access] [INFO] [dir_1]   software version:              3.1.0-2017-02-09-15-53-38-eng-builtbot
[2017-03-13 14:20:08,679] [access] [INFO] [dir_1]   UI package version:            3.1.0-2017-02-09-15-53-38-eng-builtbot
[2017-03-13 14:20:08,679] [access] [INFO] [dir_1]   Orchestration package version: 3.1.0.00293
[2017-03-13 14:20:08,679] [access] [INFO] [dir_1]   boot directory:                primary
[2017-03-13 14:20:08,679] [access] [INFO] [dir_1]   varmour security package:      116
[2017-03-13 14:20:08,680] [access] [INFO] [dir_1]   director connection secret:    4e9a4338eaa6b3d15ad601edc49b1e7f1bd4e5b4
[2017-03-13 14:20:08,680] [access] [INFO] [dir_1]   DNS server:                    
[2017-03-13 14:20:08,680] [access] [INFO] [dir_1]   inactivity timeout:            250 min 
[2017-03-13 14:20:08,680] [access] [INFO] [dir_1]   web inactivity timeout:        20 min 
[2017-03-13 14:20:08,681] [access] [INFO] [dir_1]   global commit timestamp:       2017-03-12_22:55:38_UTC 
[2017-03-13 14:20:08,681] [access] [INFO] [dir_1]   license:                       expiration:  2017-03-15 08:00:00
[2017-03-13 14:20:08,681] [access] [INFO] [dir_1] varmour@vArmour#ROOT(M)> 
[2017-03-13 14:20:08,682] [vautils] [INFO] Current version: 3.1.0-2017-02-09-15-53-38-eng-builtbot
[2017-03-13 14:20:08,682] [feature] [INFO] Not need to update firmware. device version is 3.1.0-2017-02-09-15-53-38-eng-builtbot
[2017-03-13 14:20:08,683] [feature] [INFO] show system
[2017-03-13 14:20:08,743] [access] [INFO] [dir_1] show system
[2017-03-13 14:20:08,743] [access] [INFO] [dir_1]    
[2017-03-13 14:20:08,743] [access] [INFO] [dir_1]   hostname:                      vArmour
[2017-03-13 14:20:08,744] [access] [INFO] [dir_1]   fabric interface:              eth0
[2017-03-13 14:20:08,744] [access] [INFO] [dir_1]   fabric address:                192.168.1.1/24
[2017-03-13 14:20:08,744] [access] [INFO] [dir_1]   management interface:          eth1
[2017-03-13 14:20:08,745] [access] [INFO] [dir_1]   management address:            10.11.125.90/24
[2017-03-13 14:20:08,745] [access] [INFO] [dir_1]   management gateway:            10.11.125.1
